Entry  Current_PC  Next_PC  Default Pred
0      423000      425e40   00
7      42e01c      42e028   00
8      423020      4230a8   00
11     42e02c      42b30c   00
14     423038      425e40   00
23     42305c      4230a8   00
30     423078      423088   00
41     4230a4      420358   00
48     4230c0      42b900   00
57     4230e4      42bc70   00
61     4230f4      4230fc   00
66     423108      423060   00
110    42e1b8      42bc88   00
113    4001c4      4202b0   00
119    42c1dc      42c1f8   00
128    400200      400db0   00
133    400214      400410   00
147    42c24c      42c250   01
153    42c264      42c274   00
158    42c278      425fb8   00
183    4202dc      42ac30   00
187    4202ec      42ac30   00
191    4202fc      42ac30   00
193    420304      420318   00
194    42b308      42e010   00
201    42b324      42dfe0   00
204    420330      420340   00
209    42e344      42e1b0   00
211    42034c      42ac30   00
213    42b354      42dfe0   00
215    42035c      400204   00
217    42b364      42b370   00
229    42b394      42b398   01
239    42b3bc      42b3cc   00
249    42b3e4      42b3f4   00
255    42b3fc      42b400   01
263    40041c      400200   00
266    42b428      42b474   00
272    42b440      42b44c   00
276    400450      400454   01
279    40045c      400200   00
284    42b470      425ed4   00
292    400490      400494   01
295    40049c      400200   00
296    42b4a0      42b4e0   00
308    4004d0      4004d4   01
309    4004d4      400200   00
316    4004f0      400200   00
323    40050c      400200   00
328    42b520      42b538   00
336    400540      400544   01
337    42b544      42b42c   00
339    40054c      400200   00
352    400580      400584   01
355    40058c      400200   00
368    4005c0      4005c4   01
371    4005cc      400200   00
384    400600      400604   01
385    400604      400200   00
393    400624      400200   00
406    400658      40065c   01
409    400664      400200   00
422    400698      40069c   01
423    40069c      400200   00
430    4006b8      400200   00
433    4006c4      400200   00
436    4006d0      400200   00
439    4006dc      400200   00
443    4006ec      400200   00
456    400720      400724   01
459    40072c      400200   00
472    400760      400764   01
473    400764      400200   00
480    400780      400200   00
487    40079c      400200   00
494    4007b8      400200   00
507    4007ec      4007f0   01
510    4007f8      400200   00
523    40082c      400830   01
526    400838      400200   00
539    40086c      400870   01
540    400870      400200   00
547    40088c      400200   00
554    4008a8      400200   00
561    4008c4      400200   00
568    4008e0      400200   00
575    4008fc      400200   00
579    42b90c      42b918   00
582    400918      400200   00
583    42b91c      4230c4   00
589    400934      400200   00
596    400950      400200   00
603    40096c      400200   00
610    400988      400200   00
617    4009a4      400200   00
624    4009c0      400200   00
631    4009dc      400200   00
638    4009f8      400200   00
645    400a14      400200   00
652    400a30      400200   00
659    400a4c      400200   00
666    400a68      400200   00
673    400a84      400200   00
680    400aa0      400200   00
683    400aac      400200   00
686    400ab8      400200   00
691    400acc      400200   00
700    400af0      400af4   01
701    400af4      400200   00
704    400b00      400200   00
707    400b0c      400200   00
710    400b18      400200   00
713    400b24      400200   00
719    400b3c      400200   00
728    400b60      400b64   01
729    400b64      400200   00
732    400b70      400200   00
738    400b88      400200   00
747    400bac      400bb0   01
751    400bbc      400200   00
760    400be0      400be4   01
763    400bec      400200   00
776    400c20      400c24   01
779    400c2c      400200   00
786    42ac48      42ac5c   00
792    400c60      400c64   01
795    400c6c      400200   00
801    42bc84      42e330   00
805    42bc94      42bc9c   00
808    400ca0      400ca4   01
809    42aca4      42dba0   00
810    42bca8      4230e8   00
811    400cac      400200   00
814    42acb8      42acc8   00
821    42acd4      42acd8   01
824    400ce0      400ce4   01
827    400cec      400200   00
837    42ad14      42dba0   00
839    42ad1c      42ad2c   00
840    400d20      400d24   01
843    400d2c      400200   00
846    42ad38      42ad3c   10
847    42ad3c      420350   00
856    400d60      400d64   01
859    400d6c      400200   00
872    400da0      400da4   01
875    400dac      400200   00
888    400de0      400dac   00
919    425e5c      425e60   10
923    425e6c      425e7c   00
930    425e88      425e90   10
936    425ea0      425ea4   01
939    425eac      425f88   00
948    425ed0      42b2f0   00
951    425edc      425f14   00
966    425f18      425f30   00
989    425f74      42c1d0   00
1005   425fb4      42c1d0   00
1010   422fc8      425e40   00
1015   425fdc      42303c   00
1018   422fe8      4230a8   00
1023   422ffc      423000   00

Instruction Count: 11154
Hits: 2051
Misses: 169
Right: 1923
Wrong: 128
Branches Taken: 2124
Collisions: 169
Wrong Addresses: 89
Hit Rate: 92.39%
Prediction Accuracy: 93.76%
Incorrect Addresses: 52.66%
